Date,Time,Open,High,Low,Close,Volume
20210714,000000,21000,21000,21000,21000,130647500
20210726,000000,25200,26460,25200,26460,43441127
20210727,000000,26590,26590,26590,26590,2540662
20210728,000000,27910,27910,27910,27910,3054493
20210731,000000,29300,29300,29300,29300,2808446
20210801,000000,30760,30760,30760,30760,3347888
20210802,000000,32290,32290,32290,32290,4891956
20210803,000000,33900,33900,33900,33900,3282963
20210804,000000,35590,35590,35590,35590,5063403
20210807,000000,37360,37360,37360,37360,39914124
20210808,000000,39220,39220,39220,39220,10016511
20210810,000000,41180,41180,41180,41180,6227222
20210811,000000,43230,43230,43230,43230,4916061
20210814,000000,45390,45390,45390,45390,5192343
20210815,000000,47650,47650,47650,47650,5928400
20210822,000000,50030,50030,45270,50030,93337129
20210823,000000,50990,52530,50500,52530,20978626
20210824,000000,54870,54880,53240,54590,41658412
20210825,000000,54980,56700,52450,54760,22005328
20210828,000000,55300,57710,55110,57690,18535925
20210829,000000,58000,59260,55000,56000,17828141
20210830,000000,55100,57600,54450,54450,14051214
20210831,000000,53010,56570,52260,54900,15292381
20210901,000000,55500,57150,54170,57150,5558081
20210904,000000,59450,59450,59450,59450,1913276
20210907,000000,62420,62420,62420,62420,3521292
20210908,000000,63500,64990,62490,62730,20242244
20210911,000000,64680,66560,61320,62500,8354563
20210912,000000,61110,63670,60440,61300,8507940
20210913,000000,59830,64100,59810,64100,15430277
20210914,000000,64910,65500,62510,63450,8411227
20210915,000000,63690,63690,61000,61210,6886582
20210918,000000,60750,61800,58800,58800,12977643
20210919,000000,57550,60250,56100,57700,11162129
20210920,000000,58840,60020,57360,59980,9049639
20210921,000000,60000,60890,56760,58120,5706968
20210922,000000,58930,60080,56100,58570,6028562
20210925,000000,58100,60020,57590,58560,2844907
20210926,000000,59000,59000,56530,58600,5241011
20210928,000000,58410,59800,57500,58950,2425236
20210929,000000,58000,59600,57720,59050,2879610
20211002,000000,59000,59820,57190,57500,4165002
20211003,000000,58180,58180,56030,56730,3429099
20211004,000000,56500,59920,55910,59900,6474426
20211006,000000,60000,61460,59700,60800,6216149
20211009,000000,60980,60980,58070,58070,3646793
20211010,000000,57010,58960,55910,57490,2235699
20211011,000000,57490,59010,56800,57120,1595025
20211012,000000,56880,57120,54550,54800,3515222
20211013,000000,55830,55830,52510,54100,4502392
20211016,000000,54510,56170,54510,55950,6580459
20211017,000000,56170,56170,53210,53210,5565135
20211018,000000,53750,53850,51510,52990,2231949
20211019,000000,53000,55460,53000,55460,3299963
20211020,000000,56970,57630,55770,56940,3833658
20211023,000000,57300,57300,54100,54100,5118035
20211025,000000,53800,54490,52900,53010,2126241
20211026,000000,52600,55100,52400,54400,1890541
20211027,000000,54400,55620,53010,54790,2039833
20211101,000000,55500,55500,52750,52930,2662122
20211102,000000,52920,56010,52010,55700,4425748
20211103,000000,55560,57950,54200,57230,4465543
20211106,000000,57760,59700,56160,57340,4749113
20211107,000000,57340,57970,55670,55670,3675807
20211108,000000,55000,57260,53860,54700,3093578
20211109,000000,54970,56700,54970,56000,2087708
20211110,000000,55740,58460,55630,58460,3824571
20211113,000000,58850,61790,58800,59800,12989111
20211114,000000,60530,60890,57460,57460,9353115
20211115,000000,57890,58490,55620,57170,2693731
20211116,000000,56680,59310,55750,58430,4445034
20211117,000000,59290,61280,58630,61280,10764592
20211120,000000,60930,62500,59030,60230,5326486
20211121,000000,59200,62800,59200,62800,4927662
20211122,000000,62820,64380,62010,62940,5550589
20211123,000000,62360,63480,62130,63390,2373905
20211124,000000,63380,64450,62080,62650,5067914
20211127,000000,61210,62650,60080,60970,4094286
20211128,000000,60080,61600,60080,61000,1520372
20211129,000000,61800,61800,60010,60130,1256054
20211130,000000,60000,60010,57800,57800,4951369
20211201,000000,57050,60440,55500,58110,2185308
20211204,000000,57900,58000,55000,55150,1906015
20211205,000000,55200,58350,55200,56700,1196936
20211206,000000,57300,58600,55600,57300,783719
20211207,000000,59800,59800,57720,58700,2289719
20211208,000000,57800,60890,57800,60000,2595731
20211211,000000,60600,61000,60030,60980,2099321
20211212,000000,60970,61690,60290,60360,2048275
20211213,000000,60710,60980,57680,57680,4085198
20211214,000000,58590,59900,56620,57610,1461725
20211215,000000,57100,60000,57100,59000,1230651
20211218,000000,57310,59950,56440,57000,2282396
20211219,000000,57300,57300,55500,56170,752494
20211220,000000,57000,57900,55820,57150,909608
20211221,000000,56700,59180,56010,59180,1702531
20211222,000000,61820,61820,61820,61820,3403543
20211225,000000,62300,63940,59610,60190,3368739
20211226,000000,59300,61400,59300,61320,3630770
20211227,000000,60300,62400,59810,61000,1773189
20211228,000000,60000,61100,59710,60000,994023
20211229,000000,60760,60760,59370,60000,2189404
20220101,000000,60000,60900,58900,60000,1739409
20220102,000000,59500,61400,59500,60600,1178499
20220103,000000,60100,60950,58860,59700,613009
20220104,000000,59400,60540,57650,59700,803998
20220105,000000,58550,59700,58500,58980,613206
20220108,000000,59000,60300,58410,58410,1193943
20220109,000000,58700,58800,56500,58000,2309380
20220110,000000,57900,58990,57000,57900,935876
20220111,000000,57500,58800,57000,57690,875771
20220112,000000,60490,60720,58510,59950,13754420
20220115,000000,59800,60000,57850,58760,1931433
20220116,000000,58000,59500,57300,58080,606025
20220117,000000,58800,59900,56300,56540,1262508
20220118,000000,56600,57900,54700,55480,2366757
20220119,000000,55490,58070,55000,58070,2296676
20220122,000000,58900,58900,56000,57000,1318326
20220123,000000,55300,57990,54310,54700,2889843
20220124,000000,54000,57100,54000,56980,123070
20220126,000000,55980,56000,53550,55440,4239599
20220212,000000,19730,19900,19150,19510,12185344
20220213,000000,19890,20550,18780,20190,26059251
20220214,000000,20200,20620,19600,20200,8674863
20220216,000000,20450,21070,20040,20410,15909069
20220219,000000,20040,20880,20040,20600,7436709
20220220,000000,20250,20850,20040,20080,4777830
20220221,000000,19850,20550,19820,20000,6391943
20220222,000000,20000,20170,19170,19170,20261262
20220223,000000,18900,19440,18650,19000,7134608
20220226,000000,18370,18950,18010,18180,8890943
20220227,000000,18010,19060,18010,19040,5396253
20220228,000000,19370,19370,18430,18790,3021069
20220302,000000,18460,19000,18320,18500,2154550
20220305,000000,18220,18980,18000,18070,3276602
20220306,000000,18670,19180,18240,19180,7291260
20220307,000000,20020,20020,19070,19200,10565557
20220308,000000,19100,19620,18900,19000,3823527
20220309,000000,18830,19620,18830,19260,2881495
20220312,000000,19100,19180,18500,18930,1703965
20220313,000000,18900,19550,18400,18960,2750050
20220314,000000,18960,19410,18820,18850,1465807
20220315,000000,18600,19100,18600,19010,4264387
20220316,000000,18900,18900,18010,18410,21947436
20220319,000000,18430,18430,17970,18230,8454270
20220326,000000,18750,18750,18010,18210,5136668
20220327,000000,18290,18850,18170,18690,4501819
20220328,000000,18600,19000,18380,18750,8059014
20220329,000000,19000,19000,18300,18500,9191322
20220330,000000,18350,18760,18180,18600,4631164
20220403,000000,18590,19370,18590,19150,7691831
20220404,000000,19400,19500,18150,18600,12924621
20220405,000000,18630,18900,18380,18740,5781338
20220406,000000,18660,18960,18170,18320,8178209
20220409,000000,18260,19300,18210,19300,12674823
20220410,000000,19400,19950,19160,19310,9459060
20220411,000000,19300,19310,18900,18900,5372135
20220412,000000,18860,18990,18200,18690,5768997
20220413,000000,18410,19380,18410,18970,3961849
20220416,000000,19030,19990,19000,19980,20062951
20220417,000000,20010,20360,19420,19750,9782035
20220418,000000,19910,20190,19410,19570,11794075
20220419,000000,19780,20770,19250,20770,25682256
20220420,000000,21440,21610,20900,21250,35466613
20220424,000000,21450,22520,21060,22520,32644607
20220425,000000,22900,23330,22220,22340,23004626
20220426,000000,22610,23000,22000,22890,18344443
20220427,000000,23000,23470,22530,23420,15746902
20220430,000000,23580,24200,23270,23380,14908092
20220501,000000,23500,23510,22570,22570,17933227
